MsCode, Year, EstCode, Estimate, SE, LowerCIB, UpperCIB, Flag
MEASA,2007,_Proportion, 14, 1.3, 12.7, 15.4, 
MEASA,2007,_ChangeInProportion, , , , ,A
MEASA,2007,_Number, 150.8, 14.1, 136.7, 164.9, 
MEASA,2007,_ChangeInNumber, , , , ,A
MEASA,2007,_Population, 1073.4, , , , 
MEASA,2008,_Proportion, 14.5, 1.1, 13.4, 15.6, 
MEASA,2008,_ChangeInProportion, 0.4, 1.8, -1.3, 2.2, 
MEASA,2008,_Number, 155.9, 11.7, 144.2, 167.6, 
MEASA,2008,_ChangeInNumber, 5.1, 19.1, -14, 24.2, 
MEASA,2008,_Population, 1076.5, , , , 
MEASA,2009,_Proportion, 14, 1.1, 12.8, 15.1, 
MEASA,2009,_ChangeInProportion, -0.5, 1.5, -2, 1, 
MEASA,2009,_Number, 150.6, 12.3, 138.4, 162.9, 
MEASA,2009,_ChangeInNumber, -5.3, 16.3, -21.6, 11, 
MEASA,2009,_Population, 1078.1, , , , 
MEASA,2010,_Proportion, 14.1, 1.3, 12.8, 15.4, 
MEASA,2010,_ChangeInProportion, 0.1, 1.7, -1.6, 1.8, 
MEASA,2010,_Number, 152.5, 14.4, 138.1, 166.9, 
MEASA,2010,_ChangeInNumber, 1.9, 18.2, -16.3,20.1, 
MEASA,2010,_Population, 1082.6, , , , 
MEASA,2011,_Proportion, 14.9, 1.3, 13.6, 16.2, 
MEASA,2011,_ChangeInProportion, 0.8, 1.7, -0.9, 2.5, 
MEASA,2011,_Number, 161.9, 13.9, 148, 175.8, 
MEASA,2011,_ChangeInNumber, 9.4, 18.3, -8.9, 27.7, 
MEASA,2011,_Population, 1086.9, , , , 
MEASA,2012,_Proportion, 14.8, 1.1, 13.7, 15.9, 
MEASA,2012,_ChangeInProportion, -0.1, 1.7, -1.8, 1.7, 
MEASA,2012,_Number, 160.9, 11.9, 149, 172.8, 
MEASA,2012,_ChangeInNumber, -1, 18.8, -19.8, 17.8, 
MEASA,2012,_Population, 1085.9, , , , 
MEASA,2013,_Proportion, 15.6, 1.2, 14.4, 16.7, 
MEASA,2013,_ChangeInProportion, 0.8, 1.5, -0.7, 2.3, 
MEASA,2013,_Number, 169, 12.6, 156.4, 181.6, 
MEASA,2013,_ChangeInNumber, 8.1, 16.4, -8.3, 24.5, 
MEASA,2013,_Population, 1084.7, , , , 
MEASA,2014,_Proportion, 14.5, 1.1, 13.4, 15.7, 
MEASA,2014,_ChangeInProportion, -1.1, 1.5, -2.6, 0.5, 
MEASA,2014,_Number, 157.5, 12.3, 145.2, 169.8, 
MEASA,2014,_ChangeInNumber, -11.5, 16.7, -28.2, 5.2, 
MEASA,2014,_Population, 1083.9, , , , 
MEASA,2015,_Proportion, 16.3, 1.1, 15.2, 17.4, 
MEASA,2015,_ChangeInProportion, 1.8, 1.7, 0.1, 3.5, 
MEASA,2015,_Number, 177.2, 12.2, 165, 189.4, 
MEASA,2015,_ChangeInNumber, 19.7, 18.3, 1.4, 38, 
MEASA,2015,_Population, 1087.2, , , , 
MEASA,2016,_Proportion, 15.4, 1.1, 14.3, 16.5, 
MEASA,2016,_ChangeInProportion, -0.9, 1.6, -2.5, 0.7, 
MEASA,2016,_Number, 168.3, 11.9, 156.5, 180.2, 
MEASA,2016,_ChangeInNumber, -8.9, 16.9, -25.8, 8, 
MEASA,2016,_Population, 1093.2, , , , 
MEASA,2017,_Proportion, 14.2, 1.1, 13, 15.3, 
MEASA,2017,_ChangeInProportion, -1.2, 1.6, -2.8, 0.3, 
MEASA,2017,_Number, 156.3, 12.4, 143.9, 168.6, 
MEASA,2017,_ChangeInNumber, -12.1, 17.2, -29.3, 5.1, 
MEASA,2017,_Population, 1103.2, , , , 
MEASA,2018,_Proportion, 16.5, 1.1, 15.4, 17.6, 
MEASA,2018,_ChangeInProportion, 2.3, 1.6, 0.7, 3.9, 
MEASA,2018,_Number, 183.4, 12.2, 171.2, 195.6, 
MEASA,2018,_ChangeInNumber, 27.1, 17.4, 9.7, 44.5, 
MEASA,2018,_Population, 1113.3, , , , 
MEASA,2019,_Proportion, 13.5, 0.9, 12.6, 14.4, 
MEASA,2019,_ChangeInProportion, -2.9, 1.7, -4.7, -1.2, 
MEASA,2019,_Number, 153.2, 10.1, 143.2, 163.3, 
MEASA,2019,_ChangeInNumber, -30.1, 19.6, -49.7, -10.5, 
MEASA,2019,_Population, 1132.8, , , , 
MEASA,2020,_Proportion, 13.2, 1.2, 12, 14.5, 
MEASA,2020,_ChangeInProportion, -0.3, 1.6, -1.9, 1.2, 
MEASA,2020,_Number, 151.2, 14.2, 137, 165.4, 
MEASA,2020,_ChangeInNumber, -2.1, 17.8, -19.9, 15.7, 
MEASA,2020,_Population, 1144.1, , , , 
MEASA,2021,_Proportion, 13, 1.2, 11.8, 14.2, 
MEASA,2021,_ChangeInProportion, -0.2, 1.6, -1.9, 1.4, 
MEASA,2021,_Number, 149.1, 13.8, 135.3, 162.9, 
MEASA,2021,_ChangeInNumber, -2.1, 18.8, -20.9, 16.7, 
MEASA,2021,_Population, 1149.2, , , , 
MEASA,2022,_Proportion, 12, 1.7, 10.3, 13.6, 
MEASA,2022,_ChangeInProportion, -1, 2, -3, 1, 
MEASA,2022,_Number, 137.8, 19.2, 118.6, 157.1, 
MEASA,2022,_ChangeInNumber, -11.2, 22.9, -34.1, 11.6, 
MEASA,2022,_Population, 1150.7, , , , 
MEASB,2007,_Proportion, , , , ,A
MEASB,2007,_ChangeInProportion, , , , ,A
MEASB,2007,_Number, , , , ,A
MEASB,2007,_ChangeInNumber, , , , ,A
MEASB,2007,_Population, , , , ,A
MEASB,2008,_Proportion, , , , ,A
MEASB,2008,_ChangeInProportion, , , , ,A
MEASB,2008,_Number, , , , ,A
MEASB,2008,_ChangeInNumber, , , , ,A
MEASB,2008,_Population, , , , ,A
MEASB,2009,_Proportion, 30.5, 3, 27.5, 33.4, 
MEASB,2009,_ChangeInProportion, , , , ,A
MEASB,2009,_Number, 328.6, 32.1, 296.5, 360.7, 
MEASB,2009,_ChangeInNumber, , , , ,A
MEASB,2009,_Population, 1078.1, , , , 
MEASB,2010,_Proportion, 26.9, 3.1, 23.7, 30, 
MEASB,2010,_ChangeInProportion, -3.6, 4.5, -8.1, 0.9, 
MEASB,2010,_Number, 291.1, 33.6, 257.5, 324.6, 
MEASB,2010,_ChangeInNumber, -37.5, 48, -85.5, 10.5, 
MEASB,2010,_Population, 1082.6, , , , 
MEASB,2011,_Proportion, 30.9, 3.4, 27.5, 34.2, 
MEASB,2011,_ChangeInProportion, 4, 4.6, -0.6, 8.6, 
MEASB,2011,_Number, 335.3, 35.7, 299.7, 371, 
MEASB,2011,_ChangeInNumber, 44.2, 49, -4.8, 93.2, 
MEASB,2011,_Population, 1086.9, , , , 
MEASB,2012,_Proportion, 29.1, 2.7, 26.3, 31.8, 
MEASB,2012,_ChangeInProportion, -1.8, 4.4, -6.2, 2.6, 
MEASB,2012,_Number, 315.6, 30, 285.6, 345.7, 
MEASB,2012,_ChangeInNumber, -19.7, 47.4, -67.1, 27.7, 
MEASB,2012,_Population, 1085.9, , , , 
MEASB,2013,_Proportion, 26.9, 2.6, 24.3, 29.5, 
MEASB,2013,_ChangeInProportion, -2.1, 3.7, -5.8, 1.6, 
MEASB,2013,_Number, 292.3, 28.3, 264, 320.5, 
MEASB,2013,_ChangeInNumber, -23.3, 40.1, -63.4, 16.8, 
MEASB,2013,_Population, 1084.7, , , , 
MEASB,2014,_Proportion, 27.3, 2.9, 24.4, 30.2, 
MEASB,2014,_ChangeInProportion, 0.4, 4, -3.6, 4.4, 
MEASB,2014,_Number, 295.9, 31, 264.9, 326.9, 
MEASB,2014,_ChangeInNumber, 3.6, 43.3, -39.7, 46.9, 
MEASB,2014,_Population, 1083.9, , , , 
MEASB,2015,_Proportion, 27.2, 2.9, 24.3, 30, 
MEASB,2015,_ChangeInProportion, -0.1, 3.8, -3.9, 3.7, 
MEASB,2015,_Number, 295.6, 30.1, 265.5, 325.7, 
MEASB,2015,_ChangeInNumber, -0.3, 41.4, -41.7, 41.1, 
MEASB,2015,_Population, 1087.1, , , , 
MEASB,2016,_Proportion, 24.3, 2.3, 21.9, 26.6, 
MEASB,2016,_ChangeInProportion, -2.9, 3.5, -6.4, 0.6, 
MEASB,2016,_Number, 265.4, 25.8, 239.6, 291.2, 
MEASB,2016,_ChangeInNumber, -30.2, 37.8, -68, 7.6, 
MEASB,2016,_Population, 1093.2, , , , 
MEASB,2017,_Proportion, 22.4, 2.4,20, 24.9, 
MEASB,2017,_ChangeInProportion, -1.8, 3.3, -5.1, 1.5, 
MEASB,2017,_Number, 247.5, 26.4, 221.1, 273.9, 
MEASB,2017,_ChangeInNumber, -17.9, 36.1, -54, 18.2, 
MEASB,2017,_Population, 1103.2, , , , 
MEASB,2018,_Proportion, 22.8, 1.9,20.9, 24.7, 
MEASB,2018,_ChangeInProportion, 0.4, 2.8, -2.4, 3.2, 
MEASB,2018,_Number, 253.8, 21.6, 232.3, 275.4, 
MEASB,2018,_ChangeInNumber, 6.3, 31, -24.7, 37.3, 
MEASB,2018,_Population, 1113.3, , , , 
MEASB,2019,_Proportion, 18.3, 1.1, 17.2, 19.5, 
MEASB,2019,_ChangeInProportion, -4.5, 2.4, -6.9, -2, 
MEASB,2019,_Number,207.7, 12.9, 194.9, 220.6, 
MEASB,2019,_ChangeInNumber, -46.1, 27.4, -73.5, -18.7, 
MEASB,2019,_Population, 1132.8, , , , 
MEASB,2020,_Proportion, 17.8, 1.3, 16.5, 19.1, 
MEASB,2020,_ChangeInProportion, -0.6, 1.7, -2.3, 1.2, 
MEASB,2020,_Number,203.3, 15, 188.3, 218.4, 
MEASB,2020,_ChangeInNumber, -4.4, 19.9, -24.3, 15.5, 
MEASB,2020,_Population, 1144.1, , , , 
MEASB,2021,_Proportion, 15, 1.2, 13.8, 16.1, 
MEASB,2021,_ChangeInProportion, -2.8, 1.7, -4.5, -1.1, 
MEASB,2021,_Number, 172, 13.3, 158.7, 185.3, 
MEASB,2021,_ChangeInNumber, -31.4, 19.6, -51, -11.8, 
MEASB,2021,_Population, 1149.2, , , , 
MEASB,2022,_Proportion, 15.4, 1.9, 13.4, 17.3, 
MEASB,2022,_ChangeInProportion, 0.4, 2.2, -1.8, 2.6, 
MEASB,2022,_Number, 176.8, 22.2, 154.6, 198.9, 
MEASB,2022,_ChangeInNumber, 4.8, 25.8, -21, 30.6, 
MEASB,2022,_Population, 1150.7, , , , 
MEASC,2007,_Proportion, , , , ,A
MEASC,2007,_ChangeInProportion, , , , ,A
MEASC,2007,_Number, , , , ,A
MEASC,2007,_ChangeInNumber, , , , ,A
MEASC,2007,_Population, , , , ,A
MEASC,2008,_Proportion, , , , ,A
MEASC,2008,_ChangeInProportion, , , , ,A
MEASC,2008,_Number, , , , ,A
MEASC,2008,_ChangeInNumber, , , , ,A
MEASC,2008,_Population, , , , ,A
MEASC,2009,_Proportion, , , , ,A
MEASC,2009,_ChangeInProportion, , , , ,A
MEASC,2009,_Number, , , , ,A
MEASC,2009,_ChangeInNumber, , , , ,A
MEASC,2009,_Population, , , , ,A
MEASC,2010,_Proportion, , , , ,A
MEASC,2010,_ChangeInProportion, , , , ,A
MEASC,2010,_Number, , , , ,A
MEASC,2010,_ChangeInNumber, , , , ,A
MEASC,2010,_Population, , , , ,A
MEASC,2011,_Proportion, , , , ,A
MEASC,2011,_ChangeInProportion, , , , ,A
MEASC,2011,_Number, , , , ,A
MEASC,2011,_ChangeInNumber, , , , ,A
MEASC,2011,_Population, , , , ,A
MEASC,2012,_Proportion, , , , ,A
MEASC,2012,_ChangeInProportion, , , , ,A
MEASC,2012,_Number, , , , ,A
MEASC,2012,_ChangeInNumber, , , , ,A
MEASC,2012,_Population, , , , ,A
MEASC,2013,_Proportion, 18.1, 4.3, 13.8, 22.3, 
MEASC,2013,_ChangeInProportion, , , , ,A
MEASC,2013,_Number, 195.8, 46.2, 149.6, 242, 
MEASC,2013,_ChangeInNumber, , , , ,A
MEASC,2013,_Population, 1084.7, , , , 
MEASC,2014,_Proportion, 16, 3.8, 12.1, 19.8, 
MEASC,2014,_ChangeInProportion, -2.1, 6, -8.1, 3.9, 
MEASC,2014,_Number, 172.9, 41.4, 131.5, 214.4, 
MEASC,2014,_ChangeInNumber, -22.9, 65.2, -88.1, 42.3, 
MEASC,2014,_Population, 1083.9, , , , 
MEASC,2015,_Proportion, 17.5, 4.3, 13.2, 21.8, 
MEASC,2015,_ChangeInProportion, 1.6, 6.1, -4.6, 7.7, 
MEASC,2015,_Number, 190.4, 46.3, 144.1, 236.7, 
MEASC,2015,_ChangeInNumber, 17.5, 66, -48.5, 83.5, 
MEASC,2015,_Population, 1087.1, , , , 
MEASC,2016,_Proportion, 12.1, 3.6, 8.5, 15.7, 
MEASC,2016,_ChangeInProportion, -5.4, 5.8, -11.3, 0.4, 
MEASC,2016,_Number, 132.3, 39.2, 93.2, 171.5, 
MEASC,2016,_ChangeInNumber, -58.1, 63.5, -121.6, 5.4, 
MEASC,2016,_Population, 1093.2, , , , 
MEASC,2017,_Proportion, 12.7, 2.4, 10.2, 15.1, 
MEASC,2017,_ChangeInProportion, 0.5, 4.6, -4.1, 5.2, 
MEASC,2017,_Number, 139.6, 26.5, 113.1, 166.1, 
MEASC,2017,_ChangeInNumber, 7.3, 50.3, -43, 57.6, 
MEASC,2017,_Population, 1103.2, , , , 
MEASC,2018,_Proportion, 13.3, 2.3, 11, 15.5, 
MEASC,2018,_ChangeInProportion, 0.6, 3.5, -2.9, 4.1, 
MEASC,2018,_Number, 147.6, 25.1, 122.4, 172.7, 
MEASC,2018,_ChangeInNumber, 8, 38.2, -30.2, 46.2, 
MEASC,2018,_Population, 1113.3, , , , 
MEASC,2019,_Proportion, 13.2, 1.1, 12.1, 14.3, 
MEASC,2019,_ChangeInProportion, -0.1, 2.6, -2.6, 2.5, 
MEASC,2019,_Number, 149.4, 12.2, 137.2, 161.6, 
MEASC,2019,_ChangeInNumber, 1.8, 28.7, -26.9, 30.5, 
MEASC,2019,_Population, 1132.2, , , , 
MEASC,2020,_Proportion, 11.5, 1.1, 10.5, 12.6, 
MEASC,2020,_ChangeInProportion, -1.7, 1.5, -3.1, -0.2, 
MEASC,2020,_Number, 131.7, 12.2, 119.5, 143.9, 
MEASC,2020,_ChangeInNumber, -17.7, 16.7, -34.5, -1, 
MEASC,2020,_Population, 1142.3, , , , 
MEASC,2021,_Proportion, 11, 1, 10, 11.9, 
MEASC,2021,_ChangeInProportion, -0.6, 1.4, -1.9, 0.8, 
MEASC,2021,_Number, 125.7, 11.1, 114.6, 136.8, 
MEASC,2021,_ChangeInNumber, -6, 15.7, -21.7, 9.7, 
MEASC,2021,_Population, 1146.9, , , , 
MEASC,2022,_Proportion, 10.3, 1.6, 8.8, 11.9, 
MEASC,2022,_ChangeInProportion, -0.6, 1.8, -2.5, 1.2, 
MEASC,2022,_Number, 118.9, 18.2, 100.7, 137, 
MEASC,2022,_ChangeInNumber, -6.8, 21.1, -27.9, 14.3, 
MEASC,2022,_Population, 1149.6, , , , 
MEASE,2007,_Proportion, 23.9, 1.5, 22.4, 25.5, 
MEASE,2007,_ChangeInProportion, , , , ,A
MEASE,2007,_Number, 256.8, 16.5, 240.3, 273.3, 
MEASE,2007,_ChangeInNumber, , , , ,A
MEASE,2007,_Population, 1073.4, , , , 
MEASE,2008,_Proportion, 23.4, 1.3, 22, 24.7, 
MEASE,2008,_ChangeInProportion, -0.5, 2, -2.5, 1.5, 
MEASE,2008,_Number, 251.8, 14.5, 237.3, 266.3, 
MEASE,2008,_ChangeInNumber, -5, 21.4, -26.4, 16.4, 
MEASE,2008,_Population, 1076.5, , , , 
MEASE,2009,_Proportion, 22.2, 1.3,20.9, 23.5, 
MEASE,2009,_ChangeInProportion, -1.2, 1.8, -3, 0.6, 
MEASE,2009,_Number, 239.5, 14.2, 225.4, 253.7, 
MEASE,2009,_ChangeInNumber, -12.3, 19.4, -31.7, 7.1, 
MEASE,2009,_Population, 1078.1, , , , 
MEASE,2010,_Proportion, 22.4, 1.5,20.9, 23.9, 
MEASE,2010,_ChangeInProportion, 0.2, 1.9, -1.7, 2.1, 
MEASE,2010,_Number, 242.4, 16.3, 226.2, 258.7, 
MEASE,2010,_ChangeInNumber, 2.9,20.5, -17.6, 23.4, 
MEASE,2010,_Population, 1082.6, , , , 
MEASE,2011,_Proportion, 23.3, 1.5, 21.8, 24.8, 
MEASE,2011,_ChangeInProportion, 0.9, 2, -1, 2.9, 
MEASE,2011,_Number, 253.4, 16.2, 237.2, 269.7, 
MEASE,2011,_ChangeInNumber, 11, 21.3, -10.3, 32.3, 
MEASE,2011,_Population, 1086.9, , , , 
MEASE,2012,_Proportion, 23.3, 1.3, 22, 24.6, 
MEASE,2012,_ChangeInProportion, 0, 2.2, -2.2, 2.1, 
MEASE,2012,_Number, 252.8, 13.9, 238.9, 266.7, 
MEASE,2012,_ChangeInNumber, -0.6, 23.5, -24.1, 22.9, 
MEASE,2012,_Population, 1085.9, , , , 
MEASE,2013,_Proportion, 23.6, 1.4, 22.2, 24.9, 
MEASE,2013,_ChangeInProportion, 0.3, 1.7, -1.5, 2, 
MEASE,2013,_Number, 255.5, 14.8, 240.6, 270.3, 
MEASE,2013,_ChangeInNumber, 2.7, 18.9, -16.2, 21.6, 
MEASE,2013,_Population, 1084.7, , , , 
MEASE,2014,_Proportion, 23.4, 1.3, 22.1, 24.7, 
MEASE,2014,_ChangeInProportion, -0.1, 1.9, -2, 1.8, 
MEASE,2014,_Number, 253.9, 14.3, 239.6, 268.1, 
MEASE,2014,_ChangeInNumber, -1.6,20.4, -22, 18.8, 
MEASE,2014,_Population, 1083.9, , , , 
MEASE,2015,_Proportion, 24.6, 1.3, 23.4, 25.9, 
MEASE,2015,_ChangeInProportion, 1.2, 1.8, -0.6, 3, 
MEASE,2015,_Number, 267.9, 13.9, 254, 281.8, 
MEASE,2015,_ChangeInNumber, 14, 19.6, -5.6, 33.6, 
MEASE,2015,_Population, 1087.2, , , , 
MEASE,2016,_Proportion, 23.3, 1.2, 22, 24.5, 
MEASE,2016,_ChangeInProportion, -1.4, 1.7, -3.1, 0.3, 
MEASE,2016,_Number, 254.4, 13.5, 240.9, 267.8, 
MEASE,2016,_ChangeInNumber, -13.5, 18.7, -32.2, 5.2, 
MEASE,2016,_Population, 1093.2, , , , 
MEASE,2017,_Proportion, 22.1, 1.3,20.7, 23.4, 
MEASE,2017,_ChangeInProportion, -1.2, 1.9, -3.1, 0.6, 
MEASE,2017,_Number, 243.3, 14.4, 228.9, 257.7, 
MEASE,2017,_ChangeInNumber, -11.1,20.3, -31.4, 9.2, 
MEASE,2017,_Population, 1103.2, , , , 
MEASE,2018,_Proportion, 25.3, 1.2, 24, 26.5, 
MEASE,2018,_ChangeInProportion, 3.2, 1.8, 1.4, 5, 
MEASE,2018,_Number, 281.2, 13.6, 267.6, 294.9, 
MEASE,2018,_ChangeInNumber, 37.9,20.3, 17.6, 58.2, 
MEASE,2018,_Population, 1113.3, , , , 
MEASE,2019,_Proportion, 22.1, 1.1, 21, 23.2, 
MEASE,2019,_ChangeInProportion, -3.2, 1.8, -4.9, -1.4, 
MEASE,2019,_Number, 250.3, 12.6, 237.7, 262.8, 
MEASE,2019,_ChangeInNumber, -30.9, 19.7, -50.6, -11.2, 
MEASE,2019,_Population, 1132.8, , , , 
MEASE,2020,_Proportion, 21.8, 1.5,20.3, 23.2, 
MEASE,2020,_ChangeInProportion, -0.3, 1.9, -2.3, 1.6, 
MEASE,2020,_Number, 248.9, 16.9, 232, 265.7, 
MEASE,2020,_ChangeInNumber, -1.4, 21.8, -23.2,20.4, 
MEASE,2020,_Population, 1144.1, , , , 
MEASE,2021,_Proportion,20.7, 1.3, 19.3, 22, 
MEASE,2021,_ChangeInProportion, -1.1, 1.8, -2.9, 0.7, 
MEASE,2021,_Number, 237.3, 15.4, 221.9, 252.8, 
MEASE,2021,_ChangeInNumber, -11.6,20.6, -32.1, 9, 
MEASE,2021,_Population, 1149.2, , , , 
MEASE,2022,_Proportion,20.7, 2.1, 18.6, 22.8, 
MEASE,2022,_ChangeInProportion, 0.1, 2.3, -2.2, 2.4, 
MEASE,2022,_Number, 238.7, 24.1, 214.6, 262.9, 
MEASE,2022,_ChangeInNumber, 1.4, 26.8, -25.4, 28.2, 
MEASE,2022,_Population, 1150.7, , , , 
MEASF,2007,_Proportion, 29.3, 2.9, 26.4, 32.2, 
MEASF,2007,_ChangeInProportion, , , , ,A
MEASF,2007,_Number, 314.2, 31.2, 283, 345.4, 
MEASF,2007,_ChangeInNumber, , , , ,A
MEASF,2007,_Population, 1073.4, , , , 
MEASF,2008,_Proportion, 33, 3.4, 29.6, 36.4, 
MEASF,2008,_ChangeInProportion, 3.7, 4.7, -0.9, 8.4, 
MEASF,2008,_Number, 355.2, 36.4, 318.8, 391.7, 
MEASF,2008,_ChangeInNumber, 41, 49.6, -8.6, 90.6, 
MEASF,2008,_Population, 1076.5, , , , 
MEASF,2009,_Proportion, 31.4, 3.1, 28.4, 34.5, 
MEASF,2009,_ChangeInProportion, -1.6, 4.6, -6.2, 3, 
MEASF,2009,_Number, 338.7, 33.2, 305.5, 371.8, 
MEASF,2009,_ChangeInNumber, -16.5, 50, -66.5, 33.5, 
MEASF,2009,_Population, 1078.1, , , , 
MEASF,2010,_Proportion, 29.7, 2.6, 27.1, 32.4, 
MEASF,2010,_ChangeInProportion, -1.7, 4, -5.7, 2.3, 
MEASF,2010,_Number, 321.9, 28.5, 293.4, 350.5, 
MEASF,2010,_ChangeInNumber, -16.8, 43, -59.8, 26.2, 
MEASF,2010,_Population, 1082.6, , , , 
MEASF,2011,_Proportion, 30.2, 3.1, 27.1, 33.3, 
MEASF,2011,_ChangeInProportion, 0.5, 4.1, -3.6, 4.5, 
MEASF,2011,_Number, 328.1, 32.8, 295.3, 360.9, 
MEASF,2011,_ChangeInNumber, 6.2, 43.6, -37.4, 49.8, 
MEASF,2011,_Population, 1086.9, , , , 
MEASF,2012,_Proportion, 28.9, 2.7, 26.2, 31.7, 
MEASF,2012,_ChangeInProportion, -1.2, 4.2, -5.4, 2.9, 
MEASF,2012,_Number, 314.3, 30.1, 284.2, 344.4, 
MEASF,2012,_ChangeInNumber, -13.8, 44.8, -58.6, 31, 
MEASF,2012,_Population, 1085.9, , , , 
MEASF,2013,_Proportion, 29.3, 3, 26.4, 32.3, 
MEASF,2013,_ChangeInProportion, 0.4, 4.2, -3.8, 4.6, 
MEASF,2013,_Number, 318.3, 32.1, 286.1, 350.4, 
MEASF,2013,_ChangeInNumber, 4, 45.5, -41.5, 49.5, 
MEASF,2013,_Population, 1084.7, , , , 
